Name,Type,Minion,Spell,Weapon,Rarity,Class,Druid,Hunter,Mage,Neutral,Paladin,Priest,Rogue,Shaman,Warlock,Warrior,Tribe,Beast,Demon,Dragon,Elemental,General,Mech,Murloc,Pirate,Totem,Cost,Attack,Health,Charge,Taunt,Windfury,Stealth,Divine Shield,Poisonous,Immune,Can't be Targeted by Spells or Hero Powers,Adapt,Lifesteal,Rush,Echo,Magnetic,Spell Damage,Overload,Trigger,Aura,Battlecry,Combo,Choose One,Deathrattle,End of Turn,Start of Turn,Whenever,While,After,Secret,Elemental,Dragon,Effect,Trigger 2,Effect 2,In % of Decks,Deck winrate
Kirin Tor Mage,Minion,1,0,0,Rare,Mage,0,0,1,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,The next Secret you play this turn costs (0).,None,None,10.20,49.60
Mana Wyrm,Minion,1,0,0,Common,Mage,0,0,1,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever you cast a spell; gain +1 Attack.,None,None,8.40,47.90
Sorcerer's Apprentice,Minion,1,0,0,Common,Mage,0,0,1,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,Your spells cost (1) less.,None,None,20.80,43.90
Abomination,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,5,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,1,0,0,0,0,0,0,0,0,Deal 2 damage to ALL characters.,None,None,0.20,46.40
Abusive Sergeant,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Give a minion +2 Attack this turn.,None,None,0.30,49.90
Acolyte of Pain,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever this minion takes damage; draw a card.,None,None,12.10,51.50
Alarm-o-Bot,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,Mech,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,1,0,0,0,0,0,0,At the start of your turn; swap this minion with a minion with a random one in your hand.,Deal 4 damage instead.,None,0.04,37.70
Alextrasas,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,Dragon,0,0,1,0,0,0,0,0,0,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Set a hero's remaining Health to 15.,None,None,5.00,52.60
Amani Berserker,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,1,0,0,0,0,Has +3 Attack while damaged.,None,None,1.40,55.00
Ancient Brewmaster,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Return a friendly minion from the battlefield to your hand.,None,None,0.50,49.20
Ancient Mage,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Give adjacent minions Spell Damage +1,None,None,0.01,40.20
Ancient Watcher,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,Can't Attack,None,None,0.01,44.20
Angry Chicken,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,1,0,0,0,0,Has +5 Attack while damaged.,None,None,0.01,34.20
Arcane Golem,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Give your opponent a Mana Crystal.,None,None,0.00,29.90
Argent Commander,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,6,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,3.30,56.70
Argent Squire,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,11.30,56.70
Baron Geddon,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,Elemental,0,0,0,1,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,0,0,0,1,0,0,0,0,0,0,0,At the end of your turn; deal 2 damage to ALL other characters.,None,None,2.00,52.10
Big Game Hunter,Minion,1,0,0,Epic,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Destroy a minion with an Attack of 7 or more.,None,None,1.30,52.80
Blood Knight,Minion,1,0,0,Epic,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,All minions lose Divine Shield. Gain +3/+3 for each Shield lost.,None,None,0.70,54.50
Bloodmage Thalnos,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,D,0,0,0,0,1,0,0,0,0,0,0,0,0,Draw a card.,None,None,6.30,49.60
Bloodsail Corsair,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,Pirate,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Remove 1 Durability from your opponenet's weapon.,None,None,0.03,43.10
Bloodsail Raider,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,Pirate,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Gain Attack equal to the Attack of your weapon.,None,None,0.09,42.20
Cairne Bloodhoof,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,1,0,0,0,0,0,0,0,0,Summon a 4/5 Baine Bloodhoof.,None,None,0.30,49.60
Captain Greenskin,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,Pirate,0,0,0,0,0,0,0,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Give your weapon +1/+1.,None,None,2.30,52.80
Coldlight Seer,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,Murloc,0,0,0,0,0,0,1,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Give your other Murlocs +2 Health.,None,None,0.90,51.50
Crazed Alchemist,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Swap the Attack and Health of a minion.,None,None,0.08,48.80
Cult Master,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever one of your other minions dies; draw a card.,None,None,0.60,48.30
Dark Iron Dwarf,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,GIve a minion +2 Attack this turn.,None,None,0.20,50.50
Deathwing,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,Dragon,0,0,1,0,0,0,0,0,0,10,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Destroy all other minions and discrad your hand.,None,None,0.40,47.70
Defender of Argus,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Give adjacent minions +1/+1 and Taunt.,None,None,2.70,53.40
Demolisher,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,Mech,0,0,0,0,0,1,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,1,0,0,0,0,0,0,At the start of your turn; deal 2 damage to a random enemy.,None,None,0.08,44.30
Dire Wolf Alpha,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,3.30,56.20
Doomsayer,Minion,1,0,0,Epic,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,1,0,0,0,0,0,0,At the start of your turn; destroy ALL minions.,None,None,7.80,50.40
Dread Corsair,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,Pirate,0,0,0,0,0,0,0,1,0,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,Adjacent minions have +1 Attack.,None,None,0.10,48.20
Earthen Ring Farseer,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Restore 3 Health.,None,None,0.20,50.30
Emperor Cobra,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,0.01,42.90
Faceless Manipulator,Minion,1,0,0,Epic,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Choose a minion and become a copy of it.,None,None,4.90,52.20
Faerie Dragon,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,Dragon,0,0,1,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,0.30,49.10
Fen Creeper,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,5,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,0.02,39.90
Flesheating Ghoul,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever a minion dies; gain +1 Attack.,None,None,0.05,51.00
Frost Elemental,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,Elemental,0,0,0,1,0,0,0,0,0,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Freeze a character.,None,None,0.08,45.00
Gadgetzan Auctioneer,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever you cast a spell; draw a card.,None,None,1.90,45.90
Gruul,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,0,0,0,1,0,0,0,0,0,0,0,At the end of each turn; gain +1/+1.,None,None,0.06,44.40
Harrison Jones,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Destroy your opponent's weapon and draw cards equal to its Durability.,None,None,1.80,50.10
Harvest Golem,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,Mech,0,0,0,0,0,1,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,1,0,0,0,0,0,0,0,0,Summon a 2/1 Damaged Golem.,None,None,0.30,53.50
Hogger,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,0,0,0,1,0,0,0,0,0,0,0,At the end of your turn; summon a 2/2 Gnoll with Taunt.,None,None,0.05,45.20
Hungry Crab,Minion,1,0,0,Epic,Neutral,0,0,0,1,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Destroy a Murloc and gain +2/+2.,None,None,0.02,46.20
Illidan Stormrage,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,Demon,0,1,0,0,0,0,0,0,0,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever you play a card; summon a 2/1 Flame of Azzinoth.,Return this to your hand next turn.,None,0.05,49.00
Imp Master,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,0,0,0,1,0,0,0,0,0,0,0,At the end of your turn; deal 1 damage to this minion and summon a 1/1 Imp.,None,None,0.02,49.20
Injured Blademaster,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Deal 4 damage to HIMSELF.,None,None,0.70,51.00
Ironbeak Owl,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Silence a minion.,None,None,9.40,53.50
Jungle Panther,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,0.07,49.20
King Mukla,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Give you opponent 2 Bananas.,None,None,0.30,50.80
Knive Juggler,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,0,0,0,0,0,0,1,0,0,0,After you summon a minion; deal 1 damage to a random enemy.,None,None,2.50,56.00
Leeroy Jenkins,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,5,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Summon two 1/1 Whelps for you opponent.,None,None,16.60,55.30
Leper Gnome,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,1,0,0,0,0,0,0,0,0,Deal 2 damage to the enemy hero.,None,None,0.10,46.80
Lightwarden,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever a character is healed; gain +2 Attack.,None,None,7.00,55.30
Loot Hoarder,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,1,0,0,0,0,0,0,0,0,Draw a card.,None,None,3.90,48.60
Lorewalker Cho,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever a player casts a spell; put a copy into the other player's hand.,None,None,0.09,42.60
Mad Bomber,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Deal 3 damage randomly split between all other characters.,None,None,0.04,44.00
Malygos,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,Dragon,0,0,1,0,0,0,0,0,0,9,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,8.40,51.20
Mana Addict,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever you cast a spell; gain +2 Attack this turn.,None,None,0.10,50.10
Mana Wraith,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,ALL minions cost (1) more.,None,None,0.02,44.50
Master Swordsmith,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,0,0,0,1,0,0,0,0,0,0,0,At the end of your turn; give another random friendly minion +1 Attack.,None,None,0.04,44.20
Millhouse Manastorm,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Enemy spells cost (0) next turn.,None,None,0.01,46.70
Mind Control Tech,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,If your opponent has 4 or more minions; take control of one at random.,None,None,17.50,53.30
Mogu'shan Warden,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,4,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,0.03,38.90
Mountain Giant,Minion,1,0,0,Epic,Neutral,0,0,0,1,0,0,0,0,0,0,Elemental,0,0,0,1,0,0,0,0,0,12,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,Costs (1) less for each card in your hand.,None,None,8.10,53.30
Murloc Tidecaller,Minion,1,0,0,Rare,Neutral,0,0,0,1,0,0,0,0,0,0,Murloc,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever you summon a Murloc; gain +1 Attack.,None,None,1.00,51.40
Murloc Warleader,Minion,1,0,0,Epic,Neutral,0,0,0,1,0,0,0,0,0,0,Murloc,0,0,0,0,0,0,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,Your other Murlocs have +2 Attack.,None,None,1.00,51.40
Nat Pagle,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,1,0,0,0,0,0,0,At the start of your turn; you have a 50% chance to draw an extra card.,Give a minion +4 Attack instead.,None,0.05,43.30
Nozdormu,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,Dragon,0,0,1,0,0,0,0,0,0,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,Players only have 15 seconds to take their turns.,None,None,0.03,43.30
